athlete_id,rank,discipline,season,date,event_id,location,event_stage,firstname,lastname,age,gender,country,height,arm_span,birthdate,worldcup,event_type,total_points
,1,boulder,2025,2025-10-31,9999,World Cup 2025,final,Oriane,BERTONE,,female,FRA,,,,True,season_total,4375
,2,boulder,2025,2025-10-31,9999,World Cup 2025,final,Mao,NAKAMURA,,female,JPN,,,,True,season_total,3480
,3,boulder,2025,2025-10-31,9999,World Cup 2025,final,Annie,SANDERS,,female,USA,,,,True,season_total,3290
,4,boulder,2025,2025-10-31,9999,World Cup 2025,final,Melody,SEKIKAWA,,female,JPN,,,,True,season_total,2880
,5,boulder,2025,2025-10-31,9999,World Cup 2025,final,Anon,MATSUFUJI,,female,JPN,,,,True,season_total,2670.8
,6,boulder,2025,2025-10-31,9999,World Cup 2025,final,Erin,MCNEICE,,female,GBR,,,,True,season_total,2512.5
,7,boulder,2025,2025-10-31,9999,World Cup 2025,final,Miho,NONAKA,,female,JPN,,,,True,season_total,2370
,8,boulder,2025,2025-10-31,9999,World Cup 2025,final,Camilla,MORONI,,female,ITA,,,,True,season_total,2213
,9,boulder,2025,2025-10-31,9999,World Cup 2025,final,Agathe,CALLIET,,female,FRA,,,,True,season_total,2116.3
,10,boulder,2025,2025-10-31,9999,World Cup 2025,final,Zélia,AVEZOU,,female,FRA,,,,True,season_total,2035
,1,lead,2025,2025-10-31,9999,World Cup 2025,final,Erin,MCNEICE,,female,GBR,,,,True,season_total,4502.5
,2,lead,2025,2025-10-31,9999,World Cup 2025,final,Chaehyun,SEO,,female,KOR,,,,True,season_total,4462.5
,3,lead,2025,2025-10-31,9999,World Cup 2025,final,Laura,ROGORA,,female,ITA,,,,True,season_total,3900
,4,lead,2025,2025-10-31,9999,World Cup 2025,final,Annie,SANDERS,,female,USA,,,,True,season_total,3040
,5,lead,2025,2025-10-31,9999,World Cup 2025,final,Rosa,REKAR,,female,SLO,,,,True,season_total,2520
,6,lead,2025,2025-10-31,9999,World Cup 2025,final,Héloïse,DOUMONT,,female,BEL,,,,True,season_total,2047.5
,7,lead,2025,2025-10-31,9999,World Cup 2025,final,Janja,GARNBRET,,female,SLO,,,,True,season_total,2000
,8,lead,2025,2025-10-31,9999,World Cup 2025,final,Chaeyeong,KIM,,female,KOR,,,,True,season_total,1730
,9,lead,2025,2025-10-31,9999,World Cup 2025,final,Mia,KRAMPL,,female,SLO,,,,True,season_total,1523
,10,lead,2025,2025-10-31,9999,World Cup 2025,final,Manon,HILY,,female,FRA,,,,True,season_total,1495
,1,speed,2025,2025-10-31,9999,World Cup 2025,final,Emma,HUNT,,female,USA,,,,True,season_total,3795
,2,speed,2025,2025-10-31,9999,World Cup 2025,final,Yafei,ZHOU,,female,CHN,,,,True,season_total,3495
,3,speed,2025,2025-10-31,9999,World Cup 2025,final,Desak MADE RITA KUSUMA,DEWI,,female,INA,,,,True,season_total,3390
,4,speed,2025,2025-10-31,9999,World Cup 2025,final,Aleksandra,MIROSLAW,,female,POL,,,,True,season_total,3185
,5,speed,2025,2025-10-31,9999,World Cup 2025,final,Jimin,JEONG,,female,KOR,,,,True,season_total,3170
,6,speed,2025,2025-10-31,9999,World Cup 2025,final,Natalia,KALUCKA,,female,POL,,,,True,season_total,2745
,7,speed,2025,2025-10-31,9999,World Cup 2025,final,Shaoqin,ZHANG,,female,CHN,,,,True,season_total,2465
,8,speed,2025,2025-10-31,9999,World Cup 2025,final,Yumei,QIN,,female,CHN,,,,True,season_total,2270
,9,speed,2025,2025-10-31,9999,World Cup 2025,final,Lijuan,DENG,,female,CHN,,,,True,season_total,2095
,10,speed,2025,2025-10-31,9999,World Cup 2025,final,Shixue,MENG,,female,CHN,,,,True,season_total,2002
,1,boulder,2025,2025-10-31,9999,World Cup 2025,final,Sorato,ANRAKU,,male,JPN,,,,True,season_total,5300
,2,boulder,2025,2025-10-31,9999,World Cup 2025,final,Mejdi,SCHALCK,,male,FRA,,,,True,season_total,4145
