discipline,firstname,lastname,country,prob_top10,age,height,arm_span,gender
boulder,dohyun,lee,kor,1.0,20.5,178.0,,male
boulder,sohta,amagasa,jpn,1.0,24.0,176.0,,male
boulder,meichi,narasaki,jpn,0.9903762085869926,25.0,188.0,,male
boulder,mejdi,schalck,fra,0.9819978422598762,20.0,172.0,,male
boulder,tomoa,narasaki,jpn,0.9702214040628879,28.0,170.0,,male
boulder,sorato,anraku,jpn,0.8993814737294569,17.833333333333332,168.0,181.0,male
boulder,toby,roberts,gbr,0.8607814228395426,19.0,177.0,,male
boulder,pan,yufei,chn,0.8241081061551039,24.0,173.0,,male
boulder,paul,jenft,fra,0.804648286211365,21.0,198.0,194.0,male
boulder,colin,duffy,usa,0.7805980835554328,19.666666666666668,170.0,,male
lead,dohyun,lee,kor,1.0,20.5,178.0,,male
lead,toby,roberts,gbr,1.0,19.0,177.0,,male
lead,francisco javier,aguilar amoedo,esp,0.976284634452626,41.0,167.0,173.0,male
lead,daniel,kontsch,aut,0.9760386693094559,37.0,175.0,174.0,male
lead,sebastian,schmitz,ger,0.9697754508575304,41.0,184.0,,male
lead,markus,pösendorfer,aut,0.9658326499812356,41.0,183.0,,male
lead,bill,casson,usa,0.9639160770887675,35.0,175.0,175.0,male
lead,chaz,misuraca,can,0.9630595750796914,37.0,183.0,,male
lead,gorazd,dolanc,slo,0.9596743030130589,42.0,,,male
lead,naohisa,hatakeyama,jpn,0.9587573204904379,52.0,168.0,168.0,male
speed,kiromal,katibin,ina,0.9372783611991284,24.0,,,male
speed,raharjati,nursamsa,ina,0.9103255127829663,23.0,,,male
speed,leander,carmanns,ger,0.8898174093573901,20.0,,,male
speed,zach,hammer,usa,0.8896280746448403,18.0,,,male
speed,shouhong,chu,chn,0.8745432335529244,17.0,,,male
speed,yaroslav,tkach,ukr,0.8731263574700795,22.0,182.0,,male
speed,samuel,watson,usa,0.8290562961241664,18.0,178.0,180.0,male
speed,ryo,omasa,jpn,0.773700656911996,22.0,,,male
speed,amir,maimuratov,kaz,0.7536091545063154,29.0,182.0,,male
speed,jianguo,long,chn,0.7464818570424182,21.0,,,male
