discipline,firstname,lastname,country,prob_top10,age,height,arm_span,gender
boulder,annie,sanders,usa,1.0,16.75,162.0,,female
boulder,erin,mcneice,gbr,1.0,21.0,162.0,,female
boulder,janja,garnbret,slo,1.0,24.5,164.0,,female
boulder,oriane,bertone,fra,1.0,18.5,164.0,,female
boulder,anon,matsufuji,jpn,0.9889025907480551,19.7,160.0,,female
boulder,agathe,calliet,fra,0.9837233677711335,21.0,158.0,,female
boulder,mao,nakamura,jpn,0.9728274976983364,24.0,156.0,,female
boulder,miho,nonaka,jpn,0.9670463761660958,27.0,163.0,,female
boulder,melody,sekikawa,jpn,0.888856967765726,17.0,,,female
boulder,jeanne,nore,fra,0.4939495291154594,14.0,163.0,,female
lead,annie,sanders,usa,1.0,17.0,162.0,,female
lead,erin,mcneice,gbr,1.0,20.666666666666668,161.33333333333334,,female
lead,janja,garnbret,slo,1.0,24.666666666666668,164.0,,female
lead,rosa,rekar,slo,1.0,19.0,164.0,,female
lead,raveena,alli,usa,0.9997633586074054,18.0,152.0,,female
lead,elsa,boutel menard,fra,0.9997601337054642,16.0,159.0,,female
lead,linn,poston,usa,0.9997501972873276,16.0,149.0,,female
lead,laila,grillo,sui,0.9996806050997469,33.0,160.0,,female
lead,phoebe,barkan,usa,0.9996212365039573,39.0,172.0,,female
lead,ariana,pero,rou,0.9995415890809363,20.0,,,female
speed,aleksandra,miroslaw,pol,1.0,30.0,162.0,,female
speed,emma,hunt,usa,1.0,21.0,173.0,,female
speed,jimin,jeong,kor,1.0,20.0,,,female
speed,lijuan,deng,chn,1.0,24.0,,,female
speed,natalia,kalucka,pol,1.0,22.0,165.0,,female
speed,shaoqin,zhang,chn,1.0,25.0,,,female
speed,shixue,meng,chn,1.0,17.0,,,female
speed,yafei,zhou,chn,1.0,20.0,,,female
speed,yumei,qin,chn,1.0,18.0,,,female
speed,emma,campa,ita,0.8206720192559004,14.0,166.0,,female
