discipline,firstname,lastname,country,prob_top10,age,height,arm_span,gender
boulder,dohyun,lee,kor,1.0,20.5,178.0,,male
boulder,toby,roberts,gbr,0.9914514887452733,19.0,177.0,,male
boulder,colin,duffy,usa,0.9890143967945532,19.666666666666668,170.0,,male
boulder,pan,yufei,chn,0.9840178310844969,24.0,173.0,,male
boulder,mejdi,schalck,fra,0.9271064634256915,20.0,172.0,,male
boulder,meichi,narasaki,jpn,0.9187507538402159,25.0,188.0,,male
boulder,sohta,amagasa,jpn,0.9138054888619829,24.0,176.0,,male
boulder,sorato,anraku,jpn,0.9116559537473771,17.833333333333332,168.0,181.0,male
boulder,tomoa,narasaki,jpn,0.8918886563645332,28.0,170.0,,male
boulder,paul,jenft,fra,0.8068219927386665,21.0,198.0,194.0,male
lead,dohyun,lee,kor,1.0,20.5,178.0,,male
lead,toby,roberts,gbr,1.0,19.0,177.0,,male
lead,angelino,zeller,aut,0.9995840182938568,28.0,177.0,,male
lead,chaz,misuraca,can,0.9994666957936069,37.0,183.0,,male
lead,markus,pösendorfer,aut,0.9994585369338643,41.0,183.0,,male
lead,sebastian,schmitz,ger,0.9994196467657223,41.0,184.0,,male
lead,kazuhiko,onuma,jpn,0.9994047625733685,37.0,,,male
lead,chris,astill,aus,0.999391531040837,47.0,187.0,,male
lead,ilgam,makhmutov,rus,0.9993778013729477,39.0,,,male
lead,angelo sebastian,simionescu,rou,0.999362933822867,19.0,155.0,163.0,male
speed,amir,maimuratov,kaz,1.0,29.0,182.0,,male
speed,jianguo,long,chn,1.0,21.0,,,male
speed,kiromal,katibin,ina,1.0,24.0,,,male
speed,leander,carmanns,ger,1.0,20.0,,,male
speed,raharjati,nursamsa,ina,1.0,23.0,,,male
speed,ryo,omasa,jpn,1.0,22.0,,,male
speed,samuel,watson,usa,1.0,18.0,178.0,180.0,male
speed,shouhong,chu,chn,1.0,17.0,,,male
speed,yaroslav,tkach,ukr,1.0,22.0,182.0,,male
speed,zach,hammer,usa,1.0,18.0,,,male
